RKK3GZZMS,F,Rejected,444573,00114477552288
ZXG51DXYP,C,Rejected,444573,00114477552288
EV4BDGXMA,C,Rejected,444573,00114477552288
EV4BDGXMA,C,Rejected,444573,00114477552288
RKK3GZZMS,F,Rejected,444573,00114477552288
ZS9EWGK0F,C,Rejected,444573,00114477552288
W6903Y1V9,F,Rejected,444573,00114477552288
R8A6Y3XWK,F,Rejected,444573,00114477552288
BBRYE9MHB,F,Rejected,444573,00114477552288
6V9YT9MRX,F,Rejected,444573,00114477552288
K706GMHGV,D,Rejected,444573,00114477552288
CD73VSWY2,F,Rejected,444573,00114477552288
K7A60EM96,D,Rejected,444573,00114477552288
APYGPDA8K,C,Rejected,444573,00114477552288
7Y1AAKCME,F,Rejected,444573,00114477552288
4F0ZSTR9E,C,Rejected,444573,00114477552288
BXP8P40EE,F,Rejected,444573,00114477552288
ECDTHX53S,D,Rejected,444573,00114477552288
KMMBKH3PM,F,Rejected,444573,00114477552288
TXBNGN940,F,Rejected,444573,00114477552288
DMA004F61,F,Rejected,444573,00114477552288
